Organisation Name,Section,Costs (Higher),Financial year: End Date
"ASOCIACIÓN PARA EL FOMENTO DE LA SEGURIDAD DE LA INFORMACIÓN, ISMS FORUM SPAIN (ISMS FORUM)",III - Non-governmental organisations,199999,01/12/2016
European Center for Human Rights (ECHR),III - Non-governmental organisations,97607,01/12/2016
Platform Unmanned Cargo Aircraft (PUCA),III - Non-governmental organisations,9999,01/01/2017
European Youth Information and Counselling Agency (ERYICA),III - Non-governmental organisations,9999,01/12/2016
E-project di Petillo Roberto,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
We Exist,III - Non-governmental organisations, -   ,
"Znanstveno-raziskovalno zdru_enje za umetnost, kulturne in izobra_evalne programe in tehnologijo EPEKA, socialno podjetje (Zdru_enje EPEKA)",III - Non-governmental organisations,199999,01/12/2016
Independent Networks Co-operative Association Ltd (INCA),II - In-house lobbyists and trade/business/professional associations,9999,01/11/2016
Emisores Espa_oles,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
CORPORACION DE RESERVAS ESTRATEGICAS DE PRODUCTOS PETROLIFEROS (CORES),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2016
PRUDENS,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Bundesverband Bioenergie e.V. (BBE),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Agricultural Law Association (ALA),II - In-house lobbyists and trade/business/professional associations,9999,01/09/2016
Waste4ME BV (Waste4ME),II - In-house lobbyists and trade/business/professional associations,35438,01/12/2016
Autonomy,II - In-house lobbyists and trade/business/professional associations, -   ,
European Energy Research Alliance (EERA),III - Non-governmental organisations,199999,01/12/2016
Ingenieurkammer Rheinland-Pfalz (IK RLP),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2016
Centro Europeo di Formazione Professionale (CEDIFOP),"IV - Think tanks, research and academic institutions",120000,01/12/2015
Rustavi2 Broadcasting Company (R2),II - In-house lobbyists and trade/business/professional associations,200000,01/01/2017
Consumer Credit Association of the United Kingdom (CCA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Grupo de Estudos de Ordenamento do Territ„rio e Ambiente (GEOTA),III - Non-governmental organisations,24999,01/12/2016
FONDAZIONE BRUNO KESSLER (FBK),"IV - Think tanks, research and academic institutions",99999,01/12/2015
Latvijas Br_vo arodbiedr_bu savien_ba (LBAS),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
ASOCIACION NACIONAL DE INSPECCIONES TECNICAS EQUIPOS FITOSANITARIOS (ANITEAF),II - In-house lobbyists and trade/business/professional associations, -   ,
Elizabeth Riminton-Drury,I - Professional consultancies/law firms/self-employed consultants,24999,01/10/2016
Renault Trucks,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
"ASOCIACION NACIONAL EMPRESAS FORMACION AGRARIA, GANADERA, AGROINDUSTRIAL Y MEDIOAMBIENTAL (ANEFAGAM)",II - In-house lobbyists and trade/business/professional associations, -   ,
UTOCAT SAS (UTOCAT),II - In-house lobbyists and trade/business/professional associations,200000,01/12/2016
Consumers' Forum (Consumers' Forum),III - Non-governmental organisations,9999,01/12/2016
ePassi Payments Oy (ePassi),II - In-house lobbyists and trade/business/professional associations,599999,01/06/2016
"ASSOCIATION POUR LA MOBILITE PROPRE, ELECTRIQUE ET RESPONSABLE (AMPERes)",III - Non-governmental organisations, -   ,
Associazione Nazionale Industrie Manufatti Cementizi (ASSOBETON),II - In-house lobbyists and trade/business/professional associations,70000,01/12/2016
PlanetCompliance,III - Non-governmental organisations, -   ,
Hg Pooled Management Limited (HgCapital),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Eticas Research & Consulting,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2015
______ __________ ______ ___ ________ ______ ___ _______ _________ (THF),III - Non-governmental organisations, -   ,01/12/2015
GIESA AGROENERGIA,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Mozaik Business Services (Mozaik),I - Professional consultancies/law firms/self-employed consultants,20000,01/12/2016
____ _______ ____-______ __________ ______ ___ _______ ________-SOLIDARCITY NETWORK (EGTC EFXINI POLI),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
Consumentenbond,III - Non-governmental organisations,60000,01/12/2015
"DK finan_no svetovanje, Darko Kova_i_ s.p. (DK Svetovanje)",II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
Global Harmonization Initiative Association (GHI),III - Non-governmental organisations,9999,01/12/2016
Planet Labs Netherlands B.V. (Planet),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Viro tvornica secera d.d. (VIRO),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Irish Co-operative Organisation Society Ltd. (ICOS),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Warkgrupp Oostfreesland - Arbeitsgemeinschaft fôr ostfriesische Zeit- und Kulturgeschichte (WGO),III - Non-governmental organisations,9999,01/10/2017
Media Progress ApS,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Orascom Housing Company,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
ODO 24 sp„_ka z ograniczon_ odpowiedzialno_ci_ (ODO 24 sp. z o.o.),II - In-house lobbyists and trade/business/professional associations,5000,01/12/2016
Fundaç†o COI (COI),III - Non-governmental organisations,49999,01/12/2016
FEXCO Merchant Services Unlimited Company (FMS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Instituto de Promoci„n de la Carne Vacuna Argentina (IPCVA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Estonian International Road Carriers Association (ERAA),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2016
The Joint Institute for Nuclear Research (JINR),"IV - Think tanks, research and academic institutions",999999,01/12/2016
Vereniging FME-CWM (FME),II - In-house lobbyists and trade/business/professional associations,2499999,01/12/2016
Stiftelsen Jamtli (Jamtli),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",499999,01/12/2016
Sihtasutus Innove (Innove),III - Non-governmental organisations,9999,01/12/2016
Women in International Security Brussels (WIIS Brussels),III - Non-governmental organisations,2215,01/12/2016
FUNDACION RENOVABLES (FR),III - Non-governmental organisations,33982,01/12/2016
Federation of European Explosives Manufacturers (FEEM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Soros Gabinete S.L.U. (Soros Gabinete),I - Professional consultancies/law firms/self-employed consultants,8000,01/12/2015
Stiftung Digitale Chancen (SDC),III - Non-governmental organisations,9999,01/12/2015
LEVA-EU,II - In-house lobbyists and trade/business/professional associations, -   ,
Turkish Confederation of Employer Associations (TISK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
GREEK FORUM OF REFUGEES (GFR),III - Non-governmental organisations,662217,01/12/2016
ADPA - Europena Independent Automotive Data Publishers Association (ADPA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Delft University of Technology (TU Delft),"IV - Think tanks, research and academic institutions",49999,01/12/2016
STRATEGIKON (STR),"IV - Think tanks, research and academic institutions", -   ,
PFA Koncernen (PFA),II - In-house lobbyists and trade/business/professional associations,2500000,01/12/2016
Polymateria Limited (Polymateria),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
Armenian General Benevolent Union Europe (AGBU Europe),III - Non-governmental organisations,49999,01/12/2016
European Union for Progressive Judaism (EUPJ),V - Organisations representing churches and religious communities,49999,01/01/2017
Landsrëdet f_r Sveriges Ungdomsorganisationer (LSU),III - Non-governmental organisations,504801,01/12/2015
Partners4Innovation (P4I),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2016
Center for Competition,III - Non-governmental organisations, -   ,
European Federation for Complementary and Alternative Medicine (EFCAM),III - Non-governmental organisations,24999,01/12/2016
Distribuidora Internacional de Alimentaci„n SA (DIA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Omega Consulting Intl SAS (OMCOI),I - Professional consultancies/law firms/self-employed consultants, -   ,
Universidade de Vigo (uvigo),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Benelux Business Roundtable (BBR),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Federation of Food Safety Consultants (EFFSACO),II - In-house lobbyists and trade/business/professional associations,1000,01/12/2016
Fundaç†o Oceano Azul (FOA),II - In-house lobbyists and trade/business/professional associations, -   ,
Centre for European and International Policy Action (CEIPA),"IV - Think tanks, research and academic institutions",3210,01/12/2016
Triple M,I - Professional consultancies/law firms/self-employed consultants, -   ,
Fonderie Belli Srl,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
HAK-IS TRADE UNION CONFEDERATION (HAK-IS),II - In-house lobbyists and trade/business/professional associations,70000,01/12/2016
European Pressure Ulcer Advisory Panel (EPUAP),III - Non-governmental organisations,49999,01/03/2016
EUROPEAN FRANCHISE FEDERATION (EFF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Venice International University (VIU),III - Non-governmental organisations,20000,01/12/2016
Steuerberaterverband Thôringen e. V.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
UK Finance,II - In-house lobbyists and trade/business/professional associations, -   ,
NILUSMAS Nicolas (NILUSMAS Nicolas),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Center of Global Consciousness (CGC),III - Non-governmental organisations,16000,01/12/2016
Stiftung Hilfswerk der Evangelischen Kirchen Schweiz (HEKS/EPER),III - Non-governmental organisations,49999,01/12/2016
European Association of Independent Vehicle Traders (EAIVT),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
"Fidelity National Information Services, Inc. (FIS)",II - In-house lobbyists and trade/business/professional associations,299999,01/01/2017
FlixBus Italia,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Deloitte Tax & Consulting,I - Professional consultancies/law firms/self-employed consultants,399999,01/05/2016
SEB Kort Bank AB (SEB),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Confederation of Trade Unions of Montenegro (CTUM/SSCG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Soutien Belge Overseas (SB Overseas),III - Non-governmental organisations,49999,01/12/2016
ATM - Associaç†o de Investidores e Analistas T_cnicos do Mercado de Capitais (ATM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
